RC,HOMO-alpha,LUMO-alpha,HOMO-beta,LUMO-beta
-2.44127,292.839858365,117.413302545,292.839858365,117.413302545
-2.4103,292.82103308,117.44467802,292.82103308,117.44467802
-2.37903,292.839858365,117.39447726,292.839858365,117.39447726
-2.34772,292.839858365,117.36937688,292.839858365,117.36937688
-2.31642,292.84613346,117.325451215,292.84613346,117.325451215
-2.28511,292.84613346,117.28152555000001,292.84613346,117.28152555000001
-2.25381,292.84613346,117.23132479,292.84613346,117.23132479
-2.2225,292.839858365,117.174848935,292.839858365,117.174848935
-2.1912,292.83358327,117.11209798499999,292.83358327,117.11209798499999
-2.15989,292.827308175,117.049347035,292.827308175,117.049347035
-2.12859,292.81475798499997,116.98032099,292.81475798499997,116.98032099
-2.09728,292.79593270000004,116.89874475500001,292.79593270000004,116.89874475500001
-2.06598,292.777107415,116.81716852,292.777107415,116.81716852
-2.03468,292.75828213,116.72931718999999,292.75828213,116.72931718999999
-2.00337,292.739456845,116.635190765,292.739456845,116.635190765
-1.97207,292.714356465,116.534789245,292.714356465,116.534789245
-1.94076,292.689256085,116.421837535,292.689256085,116.421837535
-1.90946,292.66415570500004,116.30888582499999,292.66415570500004,116.30888582499999
-1.87815,292.639055325,116.183383925,292.639055325,116.183383925
-1.84685,292.613954945,116.057882025,292.613954945,116.057882025
-1.81555,292.588854565,115.91982993500001,292.588854565,115.91982993500001
-1.78424,292.563754185,115.769227655,292.563754185,115.769227655
-1.75294,292.538653805,115.61235027999999,292.538653805,115.61235027999999
-1.72163,292.51982852000003,115.44919781,292.51982852000003,115.44919781
-1.69033,292.501003235,115.267220055,292.501003235,115.267220055
-1.65903,292.48217795,115.078967205,292.48217795,115.078967205
-1.62773,292.475902855,114.88443926,292.475902855,114.88443926
-1.59642,292.46962776,114.67108603000001,292.46962776,114.67108603000001
-1.56512,292.46962776,114.44518260999999,292.46962776,114.44518260999999
-1.53382,292.475902855,114.206729,292.475902855,114.206729
-1.50252,292.49472814,113.949450105,292.49472814,113.949450105
-1.47121,292.51982852000003,113.685896115,292.51982852000003,113.685896115
-1.43991,292.55120399500004,113.40351684,292.55120399500004,113.40351684
-1.40861,292.601404755,113.10231228,292.601404755,113.10231228
-1.37731,292.65788061,112.794832625,292.65788061,112.794832625
-1.34601,292.726906655,112.468527685,292.726906655,112.468527685
-1.3147,292.80848289,112.129672555,292.80848289,112.129672555
-1.2834,292.902609315,111.778267235,292.902609315,111.778267235
-1.2521,293.015561025,111.414311725,293.015561025,111.414311725
-1.2208,293.13478783,111.04408112,293.13478783,111.04408112
-1.1895,293.279115015,110.661300325,293.279115015,110.661300325
-1.1582,293.429717295,110.26596934,293.429717295,110.26596934
-1.12689,293.59914486,109.870638355,293.59914486,109.870638355
-1.09559,293.78112261499996,109.469032275,293.78112261499996,109.469032275
-1.06429,293.97565056,109.0611511,293.97565056,109.0611511
-1.03299,294.182728695,108.653269925,294.182728695,108.653269925
-1.00168,294.408632115,108.24538874999999,294.408632115,108.24538874999999
-0.97038,294.64081063000003,107.84378267000001,294.64081063000003,107.84378267000001
-0.93908,294.88553933500003,107.44217659,294.88553933500003,107.44217659
-0.90778,295.136543135,107.046845605,295.136543135,107.046845605
-0.87648,295.39382203,106.657789715,295.39382203,106.657789715
-0.84517,295.663651115,106.27500892,295.663651115,106.27500892
-0.81387,295.9334802,105.904778315,295.9334802,105.904778315
-0.78257,296.203309285,105.5470979,296.203309285,105.5470979
-0.75127,296.47313837,105.20196767499999,296.47313837,105.20196767499999
-0.71997,296.742967455,104.86938764,296.742967455,104.86938764
-0.68867,297.01279654,104.549357795,297.01279654,104.549357795
-0.65737,297.27635053,104.235603045,297.27635053,104.235603045
-0.62606,297.53990452,103.94067358000001,297.53990452,103.94067358000001
-0.59476,297.79090831999997,103.658294305,297.79090831999997,103.658294305
-0.56346,298.04191212,103.38219012500001,298.04191212,103.38219012500001
-0.53215,298.286640825,103.118636135,298.286640825,103.118636135
-0.50085,298.51881934,102.867632335,298.51881934,102.867632335
-0.46955,298.75099785500004,102.62290363,298.75099785500004,102.62290363
-0.43824,298.97062618,102.39072511500001,298.97062618,102.39072511500001
-0.40694,299.177704315,102.17109678999999,299.177704315,102.17109678999999
-0.37564,299.378507355,101.95774356000001,299.378507355,101.95774356000001
-0.34433,299.5730353,101.75694052,299.5730353,101.75694052
-0.31303,299.74873795999997,101.56868767,299.74873795999997,101.56868767
-0.28173,299.91189042999997,101.39926010500001,299.91189042999997,101.39926010500001
-0.25042,300.06249271,101.236107635,300.06249271,101.236107635
-0.21912,300.2005448,101.09178045,300.2005448,101.09178045
-0.18782,300.319771605,100.96627855,300.319771605,100.96627855
-0.15652,300.42644822,100.85332684000001,300.42644822,100.85332684000001
-0.12521,300.508024455,100.759200415,300.508024455,100.759200415
-0.09391,300.5770505,100.69017437,300.5770505,100.69017437
-0.06261,300.62725126,100.633698515,300.62725126,100.633698515
-0.03131,300.658626735,100.608598135,300.658626735,100.608598135
0.0,300.671176925,100.59604794500001,300.671176925,100.59604794500001
